R,V,E
418,65167192107602,258544506.3125
419,65949340001202,99274457.2109375
420,66739145832722,102848065.7109375
421,67536710350322,316285523.1875
422,68341504803522,156852229.359375
423,69154229743522,270858503.0625
424,69974502742322,221378093.1796875
425,70802502296482,132151329.359375
426,71638496320802,216078192.96875
427,72482239152242,172221627.875
428,73333908374722,122631731.3125
429,74193651364802,158890824.71875
430,75061375301602,132122764.515625
431,75937397710962,303536493.046875
432,76821428214082,326174069.359375
433,77713463365762,139748300.0625
434,78613993809682,177797410.125
435,79522777567282,140973313.8125
436,80439964838002,121841245.4375
437,81365793114882,299994750.1875
438,82299756743522,111614035.078125
439,83242657293842,299837119.671875
440,84194028611362,339810506.984375
441,85153793567602,95438974.328125
442,86122806402962,361727844.109375
443,87100087157522,99213174.671875
444,88086505264402,117554511.203125
445,89081956682642,252667156.515625
446,90086203237362,206061721.890625
447,91099682209522,354433277.921875
448,92122054016162,297340985.359375
449,93153505964322,160961405.984375
450,94194350412882,196249733.390625
451,95244413530402,167697023.859375
452,96303867809362,185843827.1875
453,97372852756082,327969497.53125
454,98450959872002,123072864.25
455,99539011780162,330998102.75
456,100636464199442,344408365.3125
457,101743426080482,208921091.921875
458,102860355712882,319214601.15625
459,103986771003362,129305640.984375
460,105123330504882,233577899.59375
461,106269707571522,240936276.265625
462,107425992151362,176599152.25
463,108592501894722,293206021.484375
464,109769089944962,378607681.546875
465,110955515873842,126800984.453125
466,112152628051122,320297827.515625
467,113359799661922,266141904.140625
468,114577258279362,125480734.71875
469,115805488425122,316125617.453125
470,117043888796162,169777739.15625
471,118293190857362,350620206.140625
472,119552959662882,356138795.09375
473,120823226954802,150219983.765625
474,122104639766242,311753461.984375
475,123396648943522,223153682.40625
476,124699545059842,106272931.390625
477,126013881597762,445583199.78125
478,127338659245042,172471413.8125
479,128675043218082,382562265.921875
480,130022446407922,418863605.59375
481,131380910952322,253337910.1875
482,132750916864562,295530475.828125
483,134132122975122,133510488.140625
484,135525083100002,250038733.21875
485,136929485613202,262139468.359375
486,138345466822802,234475893.0
487,139773314222722,382601299.421875
488,141212839757042,446222783.75
489,142663784471522,93852156.71875
490,144127276298562,380590294.4375
491,145602293793202,211862529.34375
492,147089592552962,269837881.0625
493,148589136111522,444322127.09375
494,150100345659042,82477513.8125
495,151624588806322,477586307.15625
496,153160634892402,324357783.71875
497,154709174431922,238374981.21875
