R,V,E
295,34530456656,118430.14526367188
296,35001005328,73022.96542358398
297,35476393200,73033.98062133789
298,35956596864,62610.12145233154
299,36441660144,53020.891593933105
300,36931623152,51714.3678817749
301,37426436464,-23506.79975128174
302,37926276640,-28965.388259887695
303,38431410704,269370.3985595703
304,38941057008,56750.92999267578
305,39455800736,-114850.85151672363
306,39976230816,310172.56956481934
307,40500789904,-258952.71808624268
308,41031249632,-84134.05268096924
309,41566858464,49443.800689697266
310,42107469952,-38425.349937438965
311,42653309952,-155753.12340545654
312,43204642576,-72404.5654373169
313,43761219632,-70658.14863586426
314,44323457248,231418.2275238037
315,44890963792,407887.23667907715
316,45463335120,20190.125595092773
317,46041427760,-109669.28584289551
318,46625525056,267019.3953704834
319,47214400144,-111350.86462402344
320,47809379344,46687.47341918945
321,48410042768,286284.52185821533
322,49015877120,59072.96620178223
323,49627342048,-210479.93493652344
324,50245250256,255039.65017700195
325,50868200976,19464.126403808594
326,51497522064,375140.47172546387
327,52131879584,-47485.762756347656
328,52772446768,-110910.45281982422
329,53419213680,139093.09888458252
330,54071883776,370034.1628112793
331,54729869888,-41311.41742706299
332,55394238928,-64197.22513580322
333,56064663936,-61858.27047729492
334,56741540896,325305.0094985962
335,57423684992,-124017.24913024902
336,58112559280,16627.662826538086
337,58807170464,-282768.97229766846
338,59508429104,-148469.29906463623
339,60216106640,154035.11107635498
340,60929748944,133575.25981140137
341,61649552992,-50023.2780456543
342,62376116832,164027.64542388916
343,63108636080,-66025.24871063232
344,63847917808,29411.333694458008
345,64593925760,376493.25994873047
346,65346092192,369778.9704437256
347,66104213136,-232506.52125549316
348,66869457024,-299847.6284942627
349,67641465392,-228734.19151306152
350,68420647040,351498.522605896
351,69205882704,283341.8198699951
352,69997430160,-213782.42057800293
353,70796160784,-306961.74644470215
354,71602711472,602126.8676300049
355,72414561568,-45854.97984313965
356,73234185152,184380.88278198242
357,74060660848,332557.20024108887
358,74893754816,125823.29042053223
359,75733870864,-71132.95567321777
360,76581301504,-5029.073959350586
361,77435634272,-127668.02717590332
362,78297237520,-110146.20495605469
363,79166323456,220186.576171875
364,80042103696,35279.072814941406
365,80925201888,-80997.38528442383
366,81816297856,511295.10469055176
367,82713101136,-518302.9812927246
368,83618901280,79655.40589904785
369,84531689632,256299.88844299316
370,85451777424,282538.6616668701
371,86378958288,-88429.50595092773
372,87313848064,-281307.2728424072
373,88256703488,-80010.72428894043
374,89207561728,511866.6274871826
375,90165348944,379613.843460083
376,91130711712,128826.55769348145
377,92103407120,-524497.022644043
378,93085293536,236811.88276672363
379,94073872832,-126683.37265014648
380,95070928976,127567.13766479492
381,96075814224,310291.9133911133
382,97088057328,-91393.97270202637
383,98108560896,-216628.87469482422
384,99137414944,-17252.573532104492
385,100174420464,265761.7229309082
386,101219621696,634579.379989624
387,102272168928,197304.33602905273
388,103333103072,-47444.89743041992
389,104402478416,-87783.23571777344
390,105480773184,512000.9789123535
391,106566198144,-79946.02264404297
392,107660565008,-94643.43637084961
393,108763438304,-10403.885147094727
394,109874968048,279838.58128356934
395,110994116592,-304623.5136871338
396,112122903536,212640.92642211914
397,113259471008,-69518.42877197266
398,114404900400,-113097.33651733398
