R,V,E
500,164330914298068,946112357.96875
501,165980243869638,389643794.34375
502,167643709304128,743578103.78125
503,169319810709378,428670682.5
504,171010269523298,1086690221.09375
505,172712913582548,465486753.5
506,174430089103710,830972198.03125
507,176159954674870,261111308.375
508,177904794084062,958749486.4375
509,179662345994552,581287435.4375
510,181434240238242,676973932.8125
511,183219862769212,549858741.3125
512,185020117885812,1022014069.71875
513,186833327737764,333041044.09375
514,188661974609214,882352128.625
515,190503918230776,446482538.5625
516,192361356981416,1140291493.25
517,194231834657658,423730791.125
518,196117802949628,664320222.625
519,198017903494758,419200643.1875
520,199933699619918,1166875474.25
521,201863043812408,674681064.09375
522,203807846373320,767439419.09375
523,205767289909250,541949284.34375
524,207742616128090,1153781304.9375
525,209731554633970,246072336.71875
526,211737248329372,874926929.375
527,213757262881782,518883347.40625
528,215793656738542,1148927791.03125
529,217844398328262,645695177.21875
530,219911539694144,973101832.5625
531,221993453194224,415045104.5
532,224092406271984,1150173341.9375
533,226205817422106,507851018.53125
534,228336253388316,965355945.4375
535,230481753678518,472393774.46875
536,232644549766718,1170299290.90625
537,234822049573448,376516206.625
538,237017044857618,791988380.84375
539,239227876652010,666594683.4375
540,241455868076650,1231961735.5
541,243699377465420,754589890.71875
542,245960153844670,891331216.0625
543,248237031901480,384357122.8125
544,250532197412600,1326586675.71875
545,252842565954650,540396161.65625
546,255171192679340,987393678.875
547,257516005765510,501870545.875
548,259879356456310,1340837850.3125
549,262258344030390,508997008.0625
550,264656097077270,1040014502.15625
551,267070490523192,713547103.75
552,269503322564432,1232174553.125
553,271952530430914,437162542.65625
554,274420884513084,1002588959.71875
555,276905988560774,435542119.78125
556,279410556047694,1352484627.21875
557,281931516841656,585922968.5625
558,284471773056976,940259283.0
559,287029869162786,861899043.875
560,289606931101186,1378368579.3125
561,292201085622876,517650073.4375
562,294815118906398,966800176.9375
563,297447002643408,598034648.6875
564,300098890609888,1465298936.0
565,302767980445858,666047256.0625
566,305457285245180,1112831768.875
567,308164428173740,327920128.0
568,310892570239972,1371065373.8125
569,313638323862342,753072786.25
570,316404401087672,1084017577.8125
571,319189307622034,767275156.8125
572,321994717288114,1373977859.875
573,324818221516844,392505953.3125
574,327663271871414,1171011013.8125
575,330526943163326,680531351.8125
576,333412088718486,1670257471.875
577,336315379683888,706838126.25
578,339240255503568,1124855637.5
579,342184573381618,676288281.5
580,345150492952810,1415180280.5625
581,348135621009060,842367636.25
582,351142013096310,907074380.5
583,354168854373200,687770616.5
584,357217781314240,1713875059.625
585,360285316641800,400686396.5625
586,363376166514162,1346570706.0625
587,366486563852692,676288000.0
588,369619696232852,1468882604.6875
589,372772756691614,808489943.0625
590,375948399840544,1240448988.6875
591,379144606350234,635786065.6875
592,382364088289794,1596553710.5
593,385603657716996,824420184.5
594,388866280752516,1174743085.0
595,392150078503038,657491818.3125
596,395457603018518,1713204232.5625
597,398785185165128,560858930.75
598,402136939667890,1202917273.9375
599,405510154434540,814646613.8125
600,408907391096700,1844660834.0625
601,412325418127430,948037270.875
602,415767370981552,1146456406.5
603,419231368364872,444470459.75
604,422720461979392,1779247967.0
605,426230273354752,657404593.75
606,429765233635114,1394789386.6875
607,433322333763964,866668945.1875
608,436904166973004,1550215682.5
609,440508110158494,705883536.0625
